sourceTaxonId	sourceTaxonName	sourceTaxonSex	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:17260948	Vireo altiloquous		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:1146131	Alchorneo latifolia	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:321514	Spindalis portoricensis		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:1146131	Alchorneo latifolia	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:1052790	Loxigilla portoricensis		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:1140063	Anthurium scandens	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:1178249	Euphonia musica		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:1140063	Anthurium scandens	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:321514	Spindalis portoricensis		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:1140063	Anthurium scandens	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:1052790	Loxigilla portoricensis		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:583027	Bursera simaruba	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:17260948	Vireo altiloquous		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:583027	Bursera simaruba	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:1178249	Euphonia musica		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:591114	Cecropia schreberiana	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:1052790	Loxigilla portoricensis		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:591114	Cecropia schreberiana	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:321514	Spindalis portoricensis		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:591114	Cecropia schreberiana	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:1177529	Turdus plumbeus		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:591114	Cecropia schreberiana	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:17260948	Vireo altiloquous		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:591114	Cecropia schreberiana	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:1050716	Margarops fuscatus		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:591114	Cecropia schreberiana	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:1178269	Nesospingus speculiferus		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:591114	Cecropia schreberiana	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:17260948	Vireo altiloquous		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:584882	Clusia rosea	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:1052790	Loxigilla portoricensis		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:584882	Clusia rosea	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:1050716	Margarops fuscatus		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:584882	Clusia rosea	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:1178269	Nesospingus speculiferus		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:584882	Clusia rosea	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:1177529	Turdus plumbeus		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:584882	Clusia rosea	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
EOL:321514	Spindalis portoricensis		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:580053	Cordia sulcata	GEONAMES:4566966	Puerto Rico			1998-02/1998-09		Carlo, T.A., Collazo, J.A. and Groom, M.J., 2003. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia, 134(1), pp.119-131.
